iter	Passed	Remaining
0	154	76942
1	161	40224
2	169	28074
3	178	22156
4	186	18447
5	193	15922
6	199	14078
7	206	12699
8	215	11730
9	221	10845
10	230	10251
11	238	9708
12	247	9257
13	254	8830
14	261	8462
15	269	8144
16	277	7897
17	286	7672
18	294	7446
19	303	7274
20	310	7081
21	318	6917
22	328	6812
23	338	6710
24	348	6617
25	356	6493
26	362	6355
27	368	6218
28	376	6108
29	384	6030
30	391	5926
31	398	5832
32	406	5752
33	413	5671
34	423	5631
35	433	5586
36	444	5565
37	453	5512
38	461	5450
39	468	5385
40	475	5325
41	484	5279
42	491	5222
43	500	5186
44	508	5138
45	516	5095
46	525	5062
47	532	5015
48	539	4967
49	548	4932
50	554	4884
51	565	4873
52	574	4842
53	582	4811
54	589	4771
55	596	4731
56	604	4695
57	611	4663
58	620	4640
59	628	4610
60	637	4587
61	648	4581
62	656	4551
63	663	4518
64	671	4492
65	679	4468
66	687	4440
67	694	4411
68	702	4385
69	710	4367
70	720	4355
71	729	4334
72	737	4314
73	745	4293
74	753	4272
75	762	4252
76	772	4244
77	779	4216
78	787	4194
79	794	4170
80	800	4141
81	808	4123
82	820	4120
83	828	4104
84	839	4096
85	851	4099
86	861	4089
87	869	4071
88	877	4053
89	884	4031
90	892	4010
91	899	3990
92	909	3978
93	916	3960
94	925	3943
95	935	3935
96	943	3919
97	952	3905
98	959	3888
99	968	3872
100	979	3871
101	991	3868
102	999	3852
103	1006	3833
104	1015	3820
105	1027	3817
106	1037	3810
107	1047	3802
108	1056	3789
109	1064	3773
110	1073	3763
111	1081	3747
112	1091	3736
113	1101	3728
114	1111	3721
115	1121	3712
116	1131	3704
117	1142	3698
118	1150	3684
119	1158	3667
120	1165	3651
121	1173	3635
122	1181	3620
123	1188	3603
124	1196	3589
125	1204	3575
126	1214	3566
127	1224	3557
128	1235	3552
129	1244	3543
130	1253	3529
131	1261	3515
132	1269	3501
133	1279	3493
134	1289	3487
135	1298	3476
136	1307	3464
137	1316	3452
138	1324	3439
139	1332	3427
140	1342	3417
141	1352	3410
142	1361	3400
143	1373	3394
144	1385	3391
145	1399	3392
146	1410	3386
147	1422	3382
148	1433	3377
149	1443	3369
150	1454	3360
151	1463	3350
152	1475	3346
153	1486	3340
154	1499	3337
155	1511	3331
156	1522	3326
157	1531	3313
158	1538	3300
159	1546	3287
160	1554	3274
161	1563	3262
162	1572	3251
163	1580	3238
164	1588	3225
165	1596	3211
166	1605	3200
167	1612	3186
168	1622	3176
169	1630	3165
170	1640	3155
171	1648	3143
172	1655	3128
173	1661	3113
174	1667	3097
175	1674	3083
176	1683	3071
177	1692	3060
178	1701	3051
179	1710	3041
180	1719	3029
181	1729	3022
182	1738	3010
183	1745	2997
184	1753	2985
185	1760	2972
186	1769	2961
187	1777	2950
188	1784	2936
189	1792	2923
190	1799	2911
191	1808	2901
192	1816	2889
193	1823	2876
194	1832	2865
195	1841	2856
196	1850	2845
197	1861	2838
198	1869	2827
199	1878	2817
200	1886	2806
201	1894	2795
202	1902	2784
203	1913	2776
204	1925	2771
205	1946	2777
206	1963	2779
207	1978	2777
208	1991	2772
209	2003	2766
210	2019	2766
211	2034	2763
212	2046	2757
213	2059	2752
214	2072	2747
215	2084	2741
216	2094	2731
217	2101	2718
218	2109	2706
219	2116	2694
220	2126	2685
221	2138	2677
222	2151	2672
223	2163	2665
224	2175	2659
225	2185	2649
226	2192	2637
227	2200	2624
228	2207	2612
229	2215	2600
230	2222	2587
231	2230	2576
232	2239	2566
233	2248	2555
234	2257	2545
235	2266	2535
236	2276	2526
237	2285	2516
238	2293	2505
239	2301	2493
240	2309	2481
241	2316	2470
242	2324	2458
243	2331	2446
244	2340	2435
245	2350	2426
246	2359	2416
247	2369	2407
248	2379	2398
249	2388	2388
250	2398	2379
251	2406	2368
252	2416	2359
253	2429	2352
254	2442	2346
255	2452	2337
256	2462	2328
257	2472	2319
258	2480	2307
259	2486	2295
260	2492	2282
261	2499	2270
262	2506	2258
263	2513	2246
264	2520	2235
265	2528	2223
266	2535	2212
267	2542	2200
268	2548	2188
269	2555	2177
270	2561	2164
271	2567	2151
272	2573	2140
273	2580	2128
274	2590	2119
275	2597	2108
276	2604	2097
277	2611	2085
278	2617	2073
279	2623	2061
280	2629	2049
281	2634	2036
282	2640	2024
283	2646	2012
284	2653	2001
285	2660	1990
286	2667	1979
287	2674	1968
288	2680	1957
289	2687	1946
290	2693	1934
291	2699	1923
292	2708	1913
293	2716	1903
294	2721	1891
295	2729	1880
296	2737	1870
297	2745	1860
298	2752	1850
299	2759	1839
300	2765	1828
301	2771	1817
302	2780	1807
303	2787	1797
304	2795	1787
305	2803	1777
306	2812	1768
307	2820	1758
308	2829	1748
309	2837	1739
310	2845	1729
311	2852	1718
312	2859	1708
313	2867	1698
314	2877	1689
315	2888	1681
316	2901	1674
317	2910	1665
318	2918	1655
319	2927	1646
320	2938	1638
321	2948	1630
322	2961	1622
323	2976	1616
324	2992	1611
325	3002	1602
326	3013	1594
327	3023	1585
328	3034	1577
329	3045	1568
330	3055	1560
331	3065	1551
332	3077	1543
333	3088	1535
334	3099	1526
335	3108	1517
336	3118	1508
337	3127	1498
338	3136	1489
339	3145	1480
340	3155	1471
341	3164	1461
342	3174	1453
343	3195	1449
344	3209	1441
345	3218	1432
346	3227	1423
347	3237	1414
348	3248	1405
349	3257	1396
350	3267	1386
351	3277	1377
352	3287	1369
353	3299	1360
354	3310	1352
355	3320	1342
356	3330	1333
357	3340	1324
358	3350	1316
359	3361	1307
360	3370	1297
361	3381	1289
362	3394	1281
363	3407	1273
364	3419	1264
365	3431	1256
366	3442	1247
367	3454	1239
368	3465	1230
369	3477	1221
370	3491	1213
371	3501	1204
372	3511	1195
373	3520	1186
374	3528	1176
375	3536	1166
376	3545	1156
377	3555	1147
378	3566	1138
379	3579	1130
380	3592	1122
381	3603	1113
382	3611	1103
383	3618	1093
384	3625	1083
385	3634	1073
386	3643	1063
387	3651	1054
388	3660	1044
389	3668	1034
390	3676	1024
391	3683	1014
392	3692	1005
393	3700	995
394	3709	986
395	3716	976
396	3723	966
397	3731	956
398	3740	946
399	3747	936
400	3754	926
401	3761	917
402	3769	907
403	3777	897
404	3785	888
405	3794	878
406	3803	869
407	3813	859
408	3822	850
409	3830	840
410	3838	831
411	3846	821
412	3853	811
413	3860	801
414	3867	792
415	3877	783
416	3891	774
417	3902	765
418	3912	756
419	3922	747
420	3933	738
421	3946	729
422	3961	721
423	3973	712
424	3985	703
425	3995	694
426	4005	684
427	4018	675
428	4029	666
429	4041	657
430	4051	648
431	4061	639
432	4070	629
433	4080	620
434	4090	611
435	4102	602
436	4113	593
437	4125	584
438	4135	574
439	4145	565
440	4157	556
441	4170	547
442	4187	538
443	4204	530
444	4215	520
445	4228	511
446	4240	502
447	4252	493
448	4263	484
449	4273	474
450	4287	465
451	4300	456
452	4311	447
453	4320	437
454	4329	428
455	4338	418
456	4352	409
457	4363	400
458	4376	390
459	4388	381
460	4402	372
461	4413	362
462	4423	353
463	4431	343
464	4438	334
465	4445	324
466	4452	314
467	4459	304
468	4467	295
469	4476	285
470	4483	276
471	4490	266
472	4496	256
473	4503	247
474	4511	237
475	4519	227
476	4526	218
477	4533	208
478	4541	199
479	4548	189
480	4555	179
481	4562	170
482	4570	160
483	4578	151
484	4587	141
485	4597	132
486	4604	122
487	4611	113
488	4619	103
489	4626	94
490	4634	84
491	4641	75
492	4648	65
493	4655	56
494	4662	47
495	4669	37
496	4677	28
497	4685	18
498	4693	9
499	4700	0
